epoch,loss,accuracy
1,0.5415559411048889,0.8091833591461182
2,0.35014840960502625,0.8758333325386047
3,0.307352215051651,0.890583336353302
4,0.27936965227127075,0.9006833434104919
5,0.2599319815635681,0.9057499766349792
6,0.2472895383834839,0.9100499749183655
7,0.23284296691417694,0.9154666662216187
8,0.220567524433136,0.9191166758537292
9,0.210386723279953,0.9225666522979736
10,0.20152901113033295,0.9264000058174133
11,0.19113293290138245,0.9292666912078857
12,0.18214887380599976,0.9329500198364258
